Device ID,Device Name,Asset ID (Container),Status,Last Seen,Latitude,Longitude,Temperature (°C),Door Status,Power Status,Battery Level (%),Error Codes,Data Source,Raw Data (JSON)
"SUDU5305758","SUDU5305758","SUDU5305758","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.741345","-118.275596","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""SUDU5305758"",""ExtPower"":false,""DoorState"":""closed"",""DeviceTemp"":""28.4"",""GPSLatitude"":""33.741345"",""LastAssetID"":""SUDU5305758"",""GPSLongitude"":""-118.275596"",""BatteryVoltage"":""8.53""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""14.0"",""AssetID"":""SUDU5305758"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:42.721Z"",""EventDtm"":""2025-11-03T11:26:42.721Z""}}}"
"Site Cabin 66","Site Cabin 66","Site Cabin 66","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.747402","-118.272133","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 66"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""29.0"",""GPSLatitude"":""33.747402"",""LastAssetID"":""Site Cabin 66"",""GPSLongitude"":""-118.272133"",""BatteryVoltage"":""7.85""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""11.5"",""AssetID"":""Site Cabin 66"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:55.317Z"",""EventDtm"":""2025-11-03T11:27:55.317Z""}}}"
"HDMU4656257","HDMU4656257","HDMU4656257","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.745527","-118.273742","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""HDMU4656257"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""28.7"",""GPSLatitude"":""33.745527"",""LastAssetID"":""HDMU4656257"",""GPSLongitude"":""-118.273742"",""BatteryVoltage"":""8.02""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""7.4"",""AssetID"":""HDMU4656257"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_6"",""OemAlarm"":533}]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:25.852Z"",""EventDtm"":""2025-11-03T11:28:25.852Z""}}}"
"31","31","31","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.739072","-118.270589","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""31"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""28.0"",""GPSLatitude"":""33.739072"",""LastAssetID"":""31"",""GPSLongitude"":""-118.270589"",""BatteryVoltage"":""8.99""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""13.6"",""AssetID"":""31"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:26.956Z"",""EventDtm"":""2025-11-03T11:26:26.956Z""}}}"
"TDRU0614084","TDRU0614084","TDRU0614084","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.741285","-118.275002","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""TDRU0614084"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""21.0"",""GPSLatitude"":""33.741285"",""LastAssetID"":""TDRU0614084"",""GPSLongitude"":""-118.275002"",""BatteryVoltage"":""7.72""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""17.9"",""AssetID"":""TDRU0614084"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:48.247Z"",""EventDtm"":""2025-11-03T11:26:48.247Z""}}}"
"UACU3421628","UACU3421628","UACU3421628","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.739515","-118.269765","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""UACU3421628"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""19.4"",""GPSLatitude"":""33.739515"",""LastAssetID"":""UACU3421628"",""GPSLongitude"":""-118.269765"",""BatteryVoltage"":""8.80""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""17.7"",""AssetID"":""UACU3421628"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_4"",""OemAlarm"":721}]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:03.434Z"",""EventDtm"":""2025-11-03T11:28:03.434Z""}}}"
"14","14","14","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.747017","-118.272926","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""14"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""16.8"",""GPSLatitude"":""33.747017"",""LastAssetID"":""14"",""GPSLongitude"":""-118.272926"",""BatteryVoltage"":""8.72""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""10.2"",""AssetID"":""14"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:46.822Z"",""EventDtm"":""2025-11-03T11:27:46.822Z""}}}"
"26","26","26","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.747237","-118.271453","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""26"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""31.4"",""GPSLatitude"":""33.747237"",""LastAssetID"":""26"",""GPSLongitude"":""-118.271453"",""BatteryVoltage"":""8.72""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""13.2"",""AssetID"":""26"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_81"",""OemAlarm"":426}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:43.407Z"",""EventDtm"":""2025-11-03T11:26:43.407Z""}}}"
"Site Cabin 84","Site Cabin 84","Site Cabin 84","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.7472","-118.271649","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 84"",""ExtPower"":false,""DoorState"":""open"",""DeviceTemp"":""18.9"",""GPSLatitude"":""33.747200"",""LastAssetID"":""Site Cabin 84"",""GPSLongitude"":""-118.271649"",""BatteryVoltage"":""8.72""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""14.5"",""AssetID"":""Site Cabin 84"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_38"",""OemAlarm"":533}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:58.855Z"",""EventDtm"":""2025-11-03T11:26:58.854Z""}}}"
"32","32","32","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.741099","-118.269578","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""32"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""24.7"",""GPSLatitude"":""33.741099"",""LastAssetID"":""32"",""GPSLongitude"":""-118.269578"",""BatteryVoltage"":""7.71""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""16.7"",""AssetID"":""32"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_25"",""OemAlarm"":403}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:39.624Z"",""EventDtm"":""2025-11-03T11:26:39.624Z""}}}"
